线索ID,日期,城市,渠道,客户年龄,客户性别,试驾时长,是否下订,is_outlier,试驾时长_raw,线索月份,跟进总次数,平均沟通时长,最大沟通时长,沟通时长标准差,最早跟进日期,最晚跟进日期,主要跟进方式,电话占比,微信占比,面谈占比,主要销售员ID,涉及销售员数,首次跟进间隔天数,跟进天数跨度,跟进强度,订单ID,交付日期,车型,配置,颜色,交付里程,是否延迟交付,交付评分,线索到交付天数,投诉次数,主要投诉类型,投诉类型数,平均处理时长,最大处理时长,售后平均满意度,售后最低满意度,是否有投诉,销售员ID,销售员城市,主要销售员职级,销售员入职日期,主要销售员绩效,销售员经验天数,租金(万),水电(万),市场费用(万),总运营成本万,年龄分段,是否周末,季度,城市当月线索数,渠道历史转化率,销售员历史转化率
L000210,2025-07-13,深圳,门店,41,男,38,0,0,38,2025-07,1,20.0,35.2,0.0,2025-07-19,2025-08-02,面谈,0.181,0.092,0.727,S049,3,6,14,0.067,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S049,深圳,中级,2021-08-01,C,1442,11.76,1.82,33.99,36.74,36-45,1,2025Q3,24,0.31,0.343
L000211,2025-08-24,成都,抖音,36,男,46,1,0,46,2025-08,2,11.9,18.7,4.1,2025-08-30,2025-08-31,电话,0.407,0.204,0.389,S019,1,6,1,1.0,O000210,2025-09-29,G9,650 Performance,月光银,220.0,1.0,2.5,36.0,1,充电体验,1,12.3,16.0,3.3,2.7,1,S019,成都,中级,2021-11-23,A,1370,14.71,4.54,9.68,39.08,36-45,1,2025Q3,11,0.27,0.356
L000212,2025-12-04,上海,懂车帝,49,女,25,0,0,25,2025-12,1,24.0,33.6,0.0,2025-12-11,2025-12-14,微信,0.463,0.472,0.065,S011,2,7,3,0.25,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S011,上海,初级,2022-10-12,B,1149,12.74,5.29,10.09,44.53,46-55,0,2025Q4,22,0.34,0.26
L000213,2025-12-30,深圳,车展,30,女,57,0,0,57,2025-12,3,10.4,23.1,1.8,2026-01-02,2026-01-19,电话,0.673,0.286,0.041,S001,2,3,17,0.167,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S001,深圳,高级,2021-11-30,B,1491,22.76,6.43,29.5,63.55,26-35,0,2025Q4,10,0.25,0.38
L000214,2025-08-01,上海,小红书,37,男,40,0,0,40,2025-08,6,15.7,24.4,8.0,2025-08-03,2025-08-08,电话,0.768,0.185,0.046,S043,3,2,5,1.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S043,上海,初级,2021-10-18,B,1383,24.33,5.93,21.63,31.36,36-45,0,2025Q3,14,0.29,0.394
L000215,2025-10-22,深圳,门店,34,女,30,1,0,30,2025-10,4,12.6,18.0,4.8,2025-10-23,2025-11-09,电话,0.611,0.347,0.042,S045,1,1,17,0.222,O000214,2025-12-15,G9,650 Max,月光银,135.0,0.0,3.7,54.0,0,无,0,0.0,0.0,0.0,0.0,0,S045,深圳,资深,2022-08-29,A,1150,21.99,2.89,21.16,31.05,26-35,0,2025Q4,17,0.31,0.376
L000216,2025-11-30,广州,懂车帝,43,男,46,0,0,46,2025-11,3,15.5,22.0,4.4,2025-12-04,2025-12-20,微信,0.344,0.368,0.287,S014,2,4,16,0.176,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S014,广州,中级,2021-10-09,B,1513,11.56,5.11,29.23,36.26,36-45,1,2025Q4,17,0.34,0.249
L000217,2025-07-29,广州,小红书,29,女,39,0,0,39,2025-07,5,6.8,21.2,6.0,2025-07-29,2025-08-19,电话,0.377,0.265,0.358,S046,2,0,21,0.227,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S046,广州,中级,2021-10-29,C,1369,28.59,5.78,18.86,69.83,26-35,0,2025Q3,21,0.29,0.301
L000218,2025-10-06,深圳,小红书,40,女,29,0,0,29,2025-10,1,20.3,37.9,0.0,2025-10-06,2025-10-10,电话,0.512,0.417,0.071,S034,2,0,4,0.2,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S034,深圳,初级,2022-03-09,B,1307,29.77,2.91,25.29,41.68,36-45,0,2025Q4,17,0.29,0.36
L000219,2025-10-27,重庆,小红书,18,男,33,0,0,33,2025-10,2,18.6,25.9,7.7,2025-10-31,2025-11-04,微信,0.378,0.41,0.212,S036,2,4,4,0.4,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S036,重庆,初级,2021-10-12,C,1476,27.76,3.11,38.85,39.02,18-25,0,2025Q4,23,0.29,0.338
L000220,2025-08-17,北京,车展,45,男,24,1,0,24,2025-08,3,19.6,37.7,3.8,2025-08-22,2025-09-10,微信,0.391,0.563,0.046,S050,1,5,19,0.15,O000219,2025-10-25,G9,570 Plus,月光银,146.0,0.0,3.8,69.0,0,无,0,0.0,0.0,0.0,0.0,0,S050,北京,中级,2023-03-05,B,896,28.63,5.0,29.17,47.87,36-45,1,2025Q3,15,0.25,0.279
L000221,2025-08-31,西安,门店,36,男,23,0,0,23,2025-08,2,17.5,25.3,7.2,2025-09-07,2025-09-10,微信,0.254,0.435,0.311,S025,3,7,3,0.5,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S025,西安,高级,2022-06-17,B,1171,31.18,4.62,13.84,49.37,36-45,1,2025Q3,18,0.31,0.396
L000222,2025-09-01,南京,小红书,32,男,19,0,0,19,2025-09,4,24.3,43.7,2.9,2025-09-02,2025-09-07,电话,0.523,0.431,0.046,S045,3,1,5,0.667,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S045,南京,高级,2023-06-10,B,814,28.85,2.57,30.55,41.76,26-35,0,2025Q3,23,0.29,0.27
L000223,2025-11-11,杭州,朋友推荐,41,男,44,0,0,44,2025-11,3,17.4,34.0,1.6,2025-11-11,2025-12-02,面谈,0.171,0.406,0.422,S011,2,0,21,0.136,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S011,杭州,资深,2023-11-26,B,716,15.9,6.05,34.46,60.2,36-45,0,2025Q4,14,0.33,0.228
L000224,2025-08-22,上海,抖音,39,男,43,1,0,43,2025-08,3,21.7,34.2,8.7,2025-08-22,2025-09-01,电话,0.599,0.359,0.042,S038,2,0,10,0.273,O000223,2025-10-24,G9,570 Plus,月光银,29.0,0.0,3.3,63.0,1,充电体验,1,1.0,11.6,4.2,4.0,1,S038,上海,中级,2021-01-17,B,1678,16.19,4.25,32.17,69.03,36-45,0,2025Q3,14,0.27,0.303
L000225,2025-11-04,南京,车展,27,男,39,0,0,39,2025-11,3,7.0,18.8,6.7,2025-11-09,2025-11-28,面谈,0.273,0.21,0.518,S049,3,5,19,0.15,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S049,南京,初级,2023-05-09,A,910,29.23,3.49,13.87,44.18,26-35,0,2025Q4,14,0.25,0.233
L000226,2025-07-31,上海,朋友推荐,32,男,46,1,0,46,2025-07,5,18.1,23.9,7.7,2025-08-04,2025-08-23,微信,0.322,0.631,0.047,S001,2,4,19,0.25,O000225,2025-08-25,G9,650 Max,暗夜黑,49.0,1.0,3.6,25.0,1,售后响应,1,7.7,16.3,3.6,3.4,1,S001,上海,中级,2022-06-29,B,1128,27.44,2.75,36.42,44.57,26-35,0,2025Q3,14,0.33,0.226
L000227,2025-10-13,西安,朋友推荐,29,女,22,0,0,22,2025-10,3,19.7,24.1,7.3,2025-10-17,2025-10-23,微信,0.347,0.605,0.049,S032,3,4,6,0.429,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S032,西安,中级,2024-05-14,A,517,25.69,3.5,17.76,34.94,26-35,0,2025Q4,19,0.33,0.24
L000228,2025-10-19,上海,抖音,34,女,25,0,0,25,2025-10,2,10.3,22.8,4.0,2025-10-23,2025-11-04,面谈,0.283,0.334,0.383,S028,2,4,12,0.154,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S028,上海,中级,2023-02-26,A,966,11.94,3.87,34.83,66.09,26-35,1,2025Q4,19,0.27,0.315
L000229,2025-12-18,杭州,抖音,32,女,37,1,0,37,2025-12,4,23.2,30.5,3.4,2025-12-20,2025-12-30,电话,0.678,0.114,0.208,S008,1,2,10,0.364,O000228,2026-01-07,G9,702 Max,星阙灰,99.0,0.0,3.8,20.0,0,无,0,0.0,0.0,0.0,0.0,0,S008,杭州,初级,2021-08-25,B,1576,18.07,3.05,39.65,44.86,26-35,0,2025Q4,17,0.27,0.32
L000230,2025-08-19,重庆,抖音,66,男,26,0,0,26,2025-08,2,28.6,40.7,8.4,2025-08-25,2025-09-16,面谈,0.21,0.075,0.715,S005,3,6,22,0.087,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S005,重庆,初级,2021-01-15,B,1677,16.24,4.34,15.82,43.06,56+,0,2025Q3,16,0.27,0.37
L000231,2025-10-04,西安,懂车帝,55,男,20,1,0,20,2025-10,3,10.2,18.7,5.3,2025-10-06,2025-10-18,微信,0.326,0.437,0.237,S045,2,2,12,0.231,O000230,2025-11-05,G9,570 Plus,月光银,191.0,1.0,4.3,32.0,0,无,0,0.0,0.0,0.0,0.0,0,S045,西安,初级,2022-08-21,C,1140,18.26,2.72,35.21,50.47,46-55,1,2025Q4,19,0.34,0.275
L000232,2025-10-06,重庆,小红书,28,女,51,1,0,51,2025-10,4,17.0,36.2,5.6,2025-10-11,2025-11-01,微信,0.183,0.682,0.135,S005,2,5,21,0.182,O000231,2025-11-07,G9,570 Plus,月光银,244.0,1.0,2.8,32.0,0,无,0,0.0,0.0,0.0,0.0,0,S005,重庆,初级,2021-06-11,B,1578,15.99,5.85,28.12,69.65,26-35,0,2025Q4,23,0.29,0.221
L000233,2025-11-21,杭州,抖音,30,女,47,0,0,47,2025-11,5,22.7,40.5,8.1,2025-11-25,2025-11-26,微信,0.443,0.486,0.071,S038,2,4,1,2.5,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S038,杭州,高级,2021-05-25,B,1641,20.7,4.35,41.51,65.8,26-35,0,2025Q4,14,0.27,0.297
L000234,2025-11-20,武汉,朋友推荐,27,男,26,0,0,26,2025-11,1,15.6,24.2,0.0,2025-11-26,2025-12-02,电话,0.744,0.204,0.053,S046,2,6,6,0.143,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S046,武汉,中级,2023-03-26,B,970,29.78,4.69,40.64,37.19,26-35,0,2025Q4,14,0.33,0.365
L000235,2025-08-21,上海,懂车帝,34,女,25,0,0,25,2025-08,3,18.2,34.1,4.0,2025-08-25,2025-09-07,微信,0.322,0.37,0.308,S008,1,4,13,0.214,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S008,上海,初级,2023-02-19,B,914,11.27,2.23,25.28,35.08,26-35,0,2025Q3,14,0.34,0.273
L000236,2025-10-25,上海,门店,39,女,26,0,0,26,2025-10,3,20.9,31.5,3.8,2025-10-27,2025-11-07,微信,0.459,0.487,0.054,S049,1,2,11,0.25,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S049,上海,中级,2024-06-18,A,494,14.77,5.76,27.62,70.44,36-45,1,2025Q4,19,0.31,0.25
L000237,2025-09-23,杭州,小红书,22,男,23,1,0,23,2025-09,5,18.4,31.6,3.0,2025-09-30,2025-10-12,电话,0.345,0.323,0.331,S045,3,7,12,0.385,O000236,2025-11-22,G9,650 Performance,月光银,209.0,0.0,4.1,60.0,0,无,0,0.0,0.0,0.0,0.0,0,S045,杭州,高级,2021-02-03,C,1693,28.4,3.24,28.86,45.99,18-25,0,2025Q3,11,0.29,0.355
L000238,2025-09-28,南京,抖音,45,女,56,1,0,56,2025-09,3,6.7,16.1,5.4,2025-10-02,2025-10-22,微信,0.311,0.458,0.231,S033,3,4,20,0.143,O000237,2025-10-18,G9,650 Max,星阙灰,32.0,1.0,3.7,20.0,2,软件体验,2,10.1,13.8,3.9,3.6,1,S033,南京,资深,2021-03-13,B,1660,23.5,3.79,15.3,43.73,36-45,1,2025Q3,23,0.27,0.349
L000239,2025-11-16,南京,门店,36,男,41,0,0,41,2025-11,7,7.5,16.1,2.3,2025-11-16,2025-12-01,微信,0.342,0.615,0.043,S010,2,0,15,0.438,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S010,南京,高级,2022-02-06,A,1379,26.54,5.45,39.49,39.24,36-45,1,2025Q4,14,0.31,0.302
L000240,2025-12-20,重庆,抖音,43,男,35,1,0,35,2025-12,4,13.6,19.4,5.0,2025-12-22,2026-01-06,微信,0.248,0.431,0.321,S039,1,2,15,0.25,O000239,2026-02-15,G9,702 Pro,星际绿,152.0,0.0,3.5,57.0,1,异响/装配,1,11.5,12.6,3.4,2.9,1,S039,重庆,高级,2021-06-12,C,1652,30.67,2.44,10.22,57.16,36-45,1,2025Q4,12,0.27,0.28
L000241,2025-09-19,武汉,车展,43,女,48,0,0,48,2025-09,1,8.2,15.4,0.0,2025-09-20,2025-10-13,电话,0.705,0.216,0.078,S003,3,1,23,0.042,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S003,武汉,高级,2023-06-03,B,839,23.63,4.69,9.66,56.3,36-45,0,2025Q3,10,0.25,0.231
L000242,2025-08-23,武汉,车展,43,男,18,0,0,18,2025-08,1,22.2,25.6,0.0,2025-08-27,2025-09-17,电话,0.543,0.151,0.306,S050,1,4,21,0.045,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S050,武汉,高级,2022-12-23,B,974,11.53,1.82,39.73,33.85,36-45,1,2025Q3,12,0.25,0.322
L000243,2025-09-02,重庆,懂车帝,41,男,27,0,0,27,2025-09,6,26.4,32.0,5.9,2025-09-02,2025-09-06,面谈,0.432,0.069,0.499,S011,1,0,4,1.2,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S011,重庆,资深,2023-03-04,B,913,29.71,6.49,41.9,65.43,36-45,0,2025Q3,15,0.34,0.332
L000244,2025-09-25,上海,小红书,37,男,25,1,0,25,2025-09,4,17.8,37.3,8.2,2025-09-29,2025-09-30,面谈,0.24,0.271,0.489,S040,2,4,1,2.0,O000243,2025-10-26,G9,650 Max,月光银,61.0,1.0,4.1,31.0,1,异响/装配,1,12.4,20.9,3.9,3.6,1,S040,上海,高级,2023-12-12,B,653,25.19,2.73,27.09,23.09,36-45,0,2025Q3,16,0.29,0.331
L000245,2025-11-16,成都,抖音,28,女,12,0,0,12,2025-11,4,3.0,20.4,5.9,2025-11-19,2025-11-22,电话,0.501,0.211,0.288,S032,2,3,3,1.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S032,成都,高级,2024-06-17,A,517,27.74,2.86,41.8,23.49,26-35,1,2025Q4,20,0.27,0.274
L000246,2025-10-16,西安,小红书,47,女,38,0,0,38,2025-10,2,14.0,28.8,2.3,2025-10-17,2025-10-20,电话,0.536,0.416,0.048,S001,3,1,3,0.5,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S001,西安,初级,2023-03-12,B,949,11.01,4.12,17.9,65.32,46-55,0,2025Q4,19,0.29,0.284
L000247,2025-07-10,深圳,小红书,32,男,31,0,0,31,2025-07,3,18.0,33.1,5.2,2025-07-15,2025-08-06,面谈,0.256,0.244,0.5,S049,1,5,22,0.13,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S049,深圳,高级,2022-03-30,B,1198,12.79,4.38,17.41,33.1,26-35,0,2025Q3,24,0.29,0.223
L000248,2025-10-10,成都,懂车帝,43,女,11,1,0,11,2025-10,3,21.0,33.1,8.3,2025-10-14,2025-10-16,电话,0.513,0.183,0.304,S009,1,4,2,1.0,O000247,2025-11-03,G9,650 Max,月光银,154.0,0.0,3.1,24.0,0,无,0,0.0,0.0,0.0,0.0,0,S009,成都,中级,2023-04-16,A,908,13.48,5.54,14.39,34.86,36-45,0,2025Q4,15,0.34,0.363
L000249,2025-11-03,深圳,车展,31,男,43,0,0,43,2025-11,0,0.0,0.0,0.0,2025-11-03,2025-11-03,电话,0.484,0.475,0.04,S020,0,0,0,0.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S020,深圳,资深,2024-02-01,B,641,30.27,3.55,19.04,26.39,26-35,0,2025Q4,17,0.25,0.368
L000250,2025-11-03,广州,门店,34,女,51,1,0,51,2025-11,5,6.3,16.0,6.0,2025-11-03,2025-11-04,微信,0.472,0.483,0.045,S021,1,0,1,2.5,O000249,2025-12-30,G9,570 Plus,星云白,90.0,0.0,4.6,57.0,1,售后响应,1,13.3,22.2,3.5,3.0,1,S021,广州,资深,2022-01-14,A,1389,11.02,5.54,13.28,27.65,26-35,0,2025Q4,17,0.31,0.339
L000251,2025-07-12,深圳,朋友推荐,36,女,29,0,0,29,2025-07,2,19.8,29.4,7.7,2025-07-13,2025-08-05,电话,0.699,0.254,0.047,S039,3,1,23,0.083,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S039,深圳,高级,2021-01-25,B,1629,19.24,4.74,17.62,32.62,36-45,1,2025Q3,24,0.33,0.25
L000252,2025-09-03,武汉,懂车帝,41,男,50,0,0,50,2025-09,3,18.1,35.1,4.5,2025-09-09,2025-09-16,面谈,0.284,0.265,0.451,S020,3,6,7,0.375,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S020,武汉,初级,2022-01-12,B,1330,20.18,3.51,30.0,46.04,36-45,0,2025Q3,10,0.34,0.326
L000253,2025-09-14,南京,抖音,33,男,11,1,0,11,2025-09,2,17.5,35.6,5.7,2025-09-17,2025-09-30,电话,0.417,0.206,0.377,S035,2,3,13,0.143,O000252,2025-10-13,G9,702 Max,星际绿,65.0,1.0,2.6,29.0,0,无,0,0.0,0.0,0.0,0.0,0,S035,南京,中级,2021-04-27,B,1601,29.15,6.32,41.13,58.1,26-35,1,2025Q3,23,0.27,0.347
L000254,2025-10-30,成都,门店,36,女,18,0,0,18,2025-10,2,19.2,23.3,8.8,2025-11-01,2025-11-07,电话,0.429,0.264,0.307,S018,1,2,6,0.286,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S018,成都,中级,2023-11-18,B,712,13.55,4.8,34.29,40.3,36-45,0,2025Q4,15,0.31,0.348
L000255,2025-10-23,西安,抖音,23,女,24,1,0,24,2025-10,2,15.2,27.9,4.9,2025-10-29,2025-11-06,面谈,0.172,0.404,0.424,S030,2,6,8,0.222,O000254,2025-12-31,G9,650 Max,月光银,118.0,1.0,2.1,69.0,0,无,0,0.0,0.0,0.0,0.0,0,S030,西安,中级,2023-11-30,A,693,14.66,5.26,40.26,65.57,18-25,0,2025Q4,19,0.27,0.255
L000256,2025-12-06,成都,车展,45,女,16,0,0,16,2025-12,2,18.8,36.6,7.1,2025-12-09,2025-12-24,微信,0.119,0.469,0.412,S044,2,3,15,0.125,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S044,成都,初级,2023-12-20,B,717,17.31,2.47,29.27,47.18,36-45,1,2025Q4,14,0.25,0.256
L000257,2025-10-02,上海,小红书,58,男,40,1,0,40,2025-10,4,15.2,33.9,4.9,2025-10-06,2025-10-23,微信,0.296,0.657,0.047,S030,2,4,17,0.222,O000256,2025-11-30,G9,650 Max,月光银,210.0,0.0,4.1,59.0,1,交付等待,1,9.3,20.6,3.8,3.3,1,S030,上海,初级,2021-09-07,C,1486,19.44,4.21,28.08,39.93,56+,0,2025Q4,19,0.29,0.315
L000258,2025-12-14,上海,小红书,21,男,30,0,0,30,2025-12,3,17.8,26.9,6.6,2025-12-20,2026-01-13,微信,0.438,0.52,0.042,S037,3,6,24,0.12,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S037,上海,中级,2021-06-28,B,1630,28.08,4.07,35.16,45.1,18-25,1,2025Q4,22,0.29,0.351
L000259,2025-07-25,成都,懂车帝,37,男,41,1,0,41,2025-07,2,19.8,23.9,8.8,2025-07-31,2025-08-13,电话,0.545,0.189,0.266,S048,3,6,13,0.143,O000258,2025-09-20,G9,702 Pro,月光银,81.0,0.0,4.2,57.0,0,无,0,0.0,0.0,0.0,0.0,0,S048,成都,中级,2021-11-10,B,1353,30.59,3.43,41.38,65.78,36-45,0,2025Q3,14,0.34,0.296
L000260,2025-11-13,深圳,抖音,48,男,51,0,0,51,2025-11,3,8.7,18.2,2.6,2025-11-17,2025-11-19,微信,0.162,0.545,0.293,S042,1,4,2,1.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S042,深圳,高级,2022-03-01,B,1353,29.41,5.13,26.19,43.13,46-55,0,2025Q4,17,0.27,0.288
L000261,2025-07-14,上海,小红书,46,女,58,1,0,58,2025-07,4,17.4,31.2,4.4,2025-07-19,2025-08-11,电话,0.416,0.374,0.211,S007,3,5,23,0.167,O000260,2025-08-11,G9,702 Pro,星际绿,111.0,1.0,3.4,28.0,0,无,0,0.0,0.0,0.0,0.0,0,S007,上海,中级,2022-04-11,B,1190,27.57,3.96,28.8,30.26,46-55,0,2025Q3,14,0.29,0.339
L000262,2025-12-17,上海,抖音,45,男,47,1,0,47,2025-12,3,27.1,30.2,7.9,2025-12-19,2026-01-08,电话,0.399,0.331,0.27,S050,1,2,20,0.143,O000261,2026-01-26,G9,702 Max,星云白,91.0,0.0,4.0,40.0,0,无,0,0.0,0.0,0.0,0.0,0,S050,上海,高级,2024-02-05,A,681,26.74,3.2,16.88,29.73,36-45,0,2025Q4,22,0.27,0.25
L000263,2025-10-18,深圳,小红书,44,女,19,0,0,19,2025-10,0,0.0,0.0,0.0,2025-10-18,2025-10-18,电话,0.503,0.199,0.299,S047,0,0,0,0.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S047,深圳,高级,2024-01-13,B,644,11.23,4.48,30.97,37.64,36-45,1,2025Q4,17,0.29,0.233
L000264,2025-10-14,成都,抖音,42,男,26,0,0,26,2025-10,4,5.0,14.4,6.1,2025-10-17,2025-11-04,微信,0.296,0.424,0.28,S005,2,3,18,0.211,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S005,成都,资深,2023-09-24,A,751,25.4,4.75,26.64,68.5,36-45,0,2025Q4,15,0.27,0.279
L000265,2025-08-04,杭州,抖音,49,女,12,0,0,12,2025-08,2,19.8,28.5,2.4,2025-08-11,2025-08-14,电话,0.494,0.46,0.045,S028,2,7,3,0.5,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S028,杭州,高级,2024-02-09,B,542,22.38,2.42,26.61,57.95,46-55,0,2025Q3,19,0.27,0.345
L000266,2025-08-19,成都,朋友推荐,50,女,36,0,0,36,2025-08,7,3.0,9.4,8.3,2025-08-19,2025-08-23,电话,0.483,0.293,0.223,S022,1,0,4,1.4,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S022,成都,初级,2022-10-05,A,1049,13.43,5.57,18.99,31.47,46-55,0,2025Q3,11,0.33,0.333
L000267,2025-12-03,上海,懂车帝,44,女,22,0,0,22,2025-12,1,11.0,15.8,0.0,2025-12-06,2025-12-16,电话,0.478,0.412,0.11,S035,3,3,10,0.091,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S035,上海,中级,2023-08-28,B,828,29.94,2.73,23.79,54.51,36-45,0,2025Q4,22,0.34,0.322
L000268,2025-09-24,深圳,懂车帝,38,男,24,0,0,24,2025-09,2,8.2,11.2,4.8,2025-09-24,2025-10-06,电话,0.619,0.276,0.105,S015,2,0,12,0.154,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S015,深圳,资深,2021-10-13,A,1442,13.94,2.56,17.35,25.28,36-45,0,2025Q3,19,0.34,0.23
L000269,2025-09-21,广州,朋友推荐,41,男,26,1,0,26,2025-09,7,20.0,24.0,1.5,2025-09-23,2025-09-25,电话,0.388,0.332,0.28,S012,1,2,2,2.333,O000268,2025-10-31,G9,650 Performance,月光银,30.0,0.0,3.9,40.0,1,售后响应,1,10.9,15.7,3.6,3.6,1,S012,广州,高级,2021-07-03,C,1541,27.56,6.16,18.94,37.45,36-45,1,2025Q3,15,0.33,0.244
L000270,2025-07-27,西安,懂车帝,36,女,22,0,0,22,2025-07,2,5.1,22.7,1.0,2025-07-31,2025-08-04,电话,0.406,0.388,0.206,S044,2,4,4,0.4,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S044,西安,高级,2023-12-26,A,579,25.86,2.09,25.02,24.33,36-45,1,2025Q3,24,0.34,0.262
L000271,2025-10-21,西安,小红书,33,女,30,0,0,30,2025-10,0,0.0,0.0,0.0,2025-10-21,2025-10-21,面谈,0.107,0.334,0.559,S023,0,0,0,0.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S023,西安,资深,2022-10-26,B,1091,14.16,4.69,31.32,43.62,26-35,0,2025Q4,19,0.29,0.378
L000272,2025-12-24,南京,小红书,36,男,24,0,0,24,2025-12,2,14.9,19.2,1.9,2025-12-30,2026-01-18,面谈,0.289,0.199,0.512,S023,3,6,19,0.1,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S023,南京,高级,2023-08-28,B,849,27.32,3.98,30.53,43.87,36-45,0,2025Q4,19,0.29,0.221
L000273,2025-11-15,广州,朋友推荐,47,女,10,1,0,10,2025-11,3,20.4,33.4,4.5,2025-11-17,2025-11-30,电话,0.58,0.318,0.102,S009,3,2,13,0.214,O000272,2025-12-24,G9,702 Max,星阙灰,185.0,0.0,4.0,39.0,0,无,0,0.0,0.0,0.0,0.0,0,S009,广州,中级,2023-01-10,A,1040,17.3,3.86,37.63,49.82,46-55,1,2025Q4,17,0.33,0.369
L000274,2025-08-29,深圳,懂车帝,24,男,44,0,0,44,2025-08,5,15.4,34.5,7.9,2025-09-01,2025-09-13,电话,0.444,0.196,0.36,S026,1,3,12,0.385,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S026,深圳,高级,2022-05-01,B,1216,19.3,3.12,14.5,58.33,18-25,0,2025Q3,19,0.34,0.34
L000275,2025-09-20,重庆,懂车帝,40,男,12,0,0,12,2025-09,4,4.4,15.6,8.4,2025-09-21,2025-09-26,面谈,0.32,0.296,0.384,S011,1,1,5,0.667,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S011,重庆,中级,2022-06-23,B,1185,26.66,3.72,33.66,39.68,36-45,1,2025Q3,15,0.34,0.399
L000276,2025-08-13,成都,抖音,50,女,18,0,0,18,2025-08,6,26.0,37.9,6.0,2025-08-13,2025-08-17,微信,0.423,0.464,0.113,S025,2,0,4,1.2,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S025,成都,初级,2022-01-25,B,1296,10.04,3.59,37.78,30.69,46-55,0,2025Q3,11,0.27,0.298
L000277,2025-11-13,北京,门店,51,女,19,1,0,19,2025-11,3,28.7,38.4,1.9,2025-11-14,2025-12-01,面谈,0.235,0.089,0.675,S027,1,1,17,0.167,O000276,2026-01-02,G9,650 Max,星阙灰,121.0,1.0,3.4,50.0,1,充电体验,1,10.3,12.0,3.5,3.3,1,S027,北京,中级,2023-10-26,A,749,20.25,4.21,15.78,23.86,46-55,0,2025Q4,20,0.31,0.357
L000278,2025-10-03,北京,懂车帝,39,女,18,0,0,18,2025-10,3,11.6,18.8,2.2,2025-10-06,2025-10-26,面谈,0.252,0.327,0.421,S036,1,3,20,0.143,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S036,北京,初级,2021-04-25,B,1622,13.61,2.45,24.47,70.3,36-45,0,2025Q4,11,0.34,0.382
